,musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time,Lyrics,Avg. Words/Sentence in Song,Avg. Words/Second in Song,Chorus Lyrics,Avg. Words/Sentence in Chorus,Avg. Words/Second in Chorus
10,13,13.mp3,Weak,AJR,What Everyone's Thinking,33.12,02:38,03:09,,0.0,0.0,,0.0,0.0
11,14,14.mp3,I’m Sorry,Adam Wakefield,I’m Sorry (The Voice Performance),26.1,01:55,02:19,,0.0,0.0,,0.0,0.0
12,15,15.mp3,Lonesome Broken and Blue (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),37.13,02:56,03:31,,0.0,0.0,,0.0,0.0
13,16,16.mp3,When I Call Your Name (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),51.16,02:06,02:55,,0.0,0.0,,0.0,0.0
14,17,17.mp3,Hello,Adele,Hello,53.15,03:51,04:42, hello its me i was wondering if after all these years youd like to meet to go over everything they say that times supposed to heal ya but i aint done much healing hello can you hear me im in california dreaming about who we used to be when we were younger and free ive forgotten how it felt before the world fell at our feet theres such a difference between us and a million miles hello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore hello how are you its so typical of me to talk about myself im sorry i hope that youre well did you ever make it out of that town where nothing ever happened its no secret that the both of us are running out of time so hello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore but it wont anymore anymore anymore hello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore,6.254901960784314,1.1232394366197183, hello from the other side,6.0,0.11288805268109126
15,18,18.mp3,Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),52.16,02:50,03:40,,0.0,0.0,,0.0,0.0
16,19,19.mp3,Water Under The Bridge,Adele,25,43.15,03:02,03:43, if youre not the one for me then how come i can bring you to your knees if youre not the one for me why do i hate the idea of being free and if im not the one for you youve got to stop holding me the way you do oh honey if im not the one for you why have we been through what we have been through nan its so cold out here in your wilderness i want you to be my keeper but not if you are so reckless nan if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge woaah woaaah say that our love aint water under the bridge nan what are you waiting for you never seem to make it through the door and who are you hiding from it aint no life to live like youre on the run have i ever asked for much the only thing that i want is your love nan if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge woaah woaaah say that our love aint water under the bridge nan its so cold in your wilderness i want you to be my keeper but not if you are so reckless nan if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge nan say it aint so say it aint so say it aint so say it aint so say that our love aint water under the bridge say that our love aint water under the bridge say that our love aint water under the bridge,6.944444444444445,1.5756302521008403, nan if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge if youre gonna let me down let me down gently dont pretend that you dont want me our love aint water under the bridge nan say it aint so say it aint so say it aint so say it aint so say that our love aint water under the bridge say that our love aint water under the bridge say that our love aint water under the bridge,7.230769230769231,2.178447276940904
17,20,20.mp3,We're In This Love Together,Al Jarreau,Breakin' Away,81.22,02:27,03:46, its like a diamond ring its a precious thing and we never want to lose it its like a favorite song that we love to sing every time we hear the music were in this love together we got the kind that lasts forever were in this love together and like berries on the vine it gets sweeter all the time its like a rainy night in candlelight and ooh its so romantic we got the whole thing working out so right and its just the way we planned it tell ya were in this love together we got the kind that lasts forever dont you know were in this love together and like berries on the vine it gets sweeter all the time were in this love together we got the kind that lasts forever were in this love together and like berries on the vine it gets sweeter all the time,0.0,0.0, it gets sweeter all the time,7.0,0.08618566855454322
18,21,21.mp3,Faded,Alan Walker,Faded,45.14,02:32,03:15, you were the shadow to my light did you feel us another star you fade away afraid our aim is out of sight wanna see us alive where are you now where are you now where are you now was it all in my fantasy where are you now were you only imaginary where are you now atlantis under the sea under the sea where are you now another dream the monsters running wild inside of me im faded im faded so lost im faded im faded  so lost im faded these shallow waters never met what i needed im letting go a deeper dive eternal silence of the sea im breathing alive where are you now where are you now under the bright but faded lights you set my heart on fire where are you now where are you now  where are you now atlantis under the sea under the sea where are you now another dream the monsters running wild inside of me im faded im faded so lost im faded im faded  so lost im faded ,3.5384615384615383,0.9019607843137255, where are you now,5.0,0.11076650420912716
19,23,23.mp3,How Far I'll Go(Alessia Cara Version),Alessia Cara,Moana (Original Motion Picture Soundtrack),28.09,02:19,02:45, ive been standing at the edge of the water long as i can remember never really knowing why i wish i could be the perfect daughter but i come back to the water no matter how hard i try every turn i take every trail i track every path i make every road leads back to the place i know where i can not go though i long to be nan see the line where the sky meets the sea it calls me and no one knows how far it goes if the wind on my sail on the sea stays behind me one day ill know if i go theres just no telling how far ill go nan goohohohohohohohohoh nan i know everybody on this island seems so happy on this island everything is by design i know everybody on this island has a role on this island so maybe i can roll with mine i can lead with pride i can make us strong ill be satisfied if i play along but the voice inside sings a different song what is wrong with me nan see the light as it shines on the sea its blinding but no one knows how deep it goes and it seems like its calling out to me so come find me and let me know whats beyond that line will i cross that line nan see the line where the sky meets the sea it calls me and no one knows how far it goes if the wind on my sail in t he sea stays behind me one day ill know how far ill go,8.333333333333334,1.6666666666666667, and let me know whats beyond that line will i cross that line,14.0,0.4983980064079744
20,25,25.mp3,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),42.13,02:57,03:37, she just wants to be beautiful she goes unnoticed she knows no limits she craves attention she praises an image she prays to be sculpted by the sculptor oh she dont see the light thats shining deeper than the eyes can find it maybe we have made her blind so she tries to cover up her pain and cut her woes away cause covergirls dont cry after their face is made but theres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful oh and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful she has dreams to be an envy so shes starving you know covergirls eat nothing she says beauty is pain and theres beauty in everything whats a little bit of hunger i could go a little while longer she fades away she dont see her perfect she dont understand shes worth it or that beauty goes deeper than the surface oh so to all the girls thats hurting let me be your mirror help you see a little bit clearer the light that shines within theres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful oh and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful no better you than the you that you are no better you than the you that you are no better life than the life were living no better life than the life were living no better time for your shine youre a star no better time for your shine youre a star oh youre beautiful oh youre beautiful and theres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful nan,7.851851851851852,1.86784140969163, and theres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful nan,7.888888888888889,1.6852599098029906
21,26,26.mp3,Wild Things(NuKid Remix),Alessia Cara,Wild Things (The Remixes),18.09,03:54,04:10, nan find table space to say your social graces bow your heads theyre pious here but you and i were pioneers we make our own rules our own room no bias here let em sell what they are sellin there are no buyers here so gather all the rebels now well rebel rouse and sing aloud we dont care what they say no way no way and we will leave the empty chairs to those who say we cant sit there were fine all by ourselves so aye we brought our drum and this is how we dance no mistakin we make our breaks if you dont like our 808s then leave us alone cause we dont need your policies we have no apologies for being find me where the wild things are well be alright dont mind us yeah find me where the wild things are well be just fine dont mind us yeah find me where the wild things are i lose my balance on these eggshells you tell me to tread id rather be a wild one instead dont wanna hang around the in crowd the cool kids im cool to me cause theyre not cooler than we are so aye we brought our drum and this is how we dance no mistakin we make our breaks if you dont like our 808s then leave us alone cause we dont need your policies we have no apologies for being find me where the wild things are well be alright dont mind us yeah find me where the wild things are well be just fine dont mind us yeah we will carve our place into time and space we will find our way or well make a way say hey hey hey find your grace dont you hide your face and let it shine shine shine so aye we brought our drum and this is how we dance no mistakin we make our breaks if you dont like our 808s then leave us alone cause we dont need your policies we have no apologies for being find me where the wild things are well be alright dont mind us yeah find me where the wild things are well be just fine dont mind us yeah find me where the wild things are,8.953488372093023,2.0157068062827226, find me where the wild things are,8.0,0.44223327805417356
22,28,28.mp3,Not Easy,Alex Da Kid,Not Easy,49.14,03:13,04:00, its not easy no its not easy its not easy breaking your heart its not easy no its not easy its not easy breaking your heart we were two dumb kids full of grand ideas we knew this would end from the start from the fire we burned you and i we learned its not easy breaking your heart its not easy no its not easy its not easy breaking your heart its not easy no its not easy its not easy breaking your heart woooohohohohohoh woooohohohohohoh woooohohohohohoh woooohohohohohoh we were two dumb kids full of hopes and fears growing further and further apart so you shook your head looked at me and said its not easy breaking your heart its not easy its not easy no its not easy its not easy its not easy breaking your heart its not easy not easy no its not easy its not easy breaking your heart woooohohohohohoh woooohohohohohoh woooohohohohohoh woooohohohohohoh we started small and conquered it all came from nothing but knew we would ball some looked at us and said we would fall we tryna to do it big like no one done it before i remembered that hole in the wall twelve of us in the bus we was all going hard waiting for hard work to pay off theyll come and take your spot if you take a day off its not easy no its not easy no its not easy its not easy breaking your heart i dont really wanna break your heart its not easy no its not easy its not easy breaking your heart i dont really wanna break your heart woooohohohohohoh yeah its young khalifa man woooohohohohohoh gotta do what i gotta do to get where im going woooohohohohohoh haha aint nothin gon stop that we just gon keep going and going woooohohohohohoh i dont really wanna break your heart i dont really wanna break your heart haha please dont ever show anyone that please,5.015151515151516,1.324, its not easy no its not easy no its not easy its not easy breaking your heart i dont really wanna break your heart its not easy no its not easy its not easy breaking your heart i dont really wanna break your heart woooohohohohohoh yeah its young khalifa man woooohohohohohoh gotta do what i gotta do to get where im going woooohohohohohoh haha aint nothin gon stop that we just gon keep going and going woooohohohohohoh i dont really wanna break your heart i dont really wanna break your heart haha please dont ever show anyone that please,5.0,2.035002035002035
23,29,29.mp3,Down That Road (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),41.13,03:02,03:41,,0.0,0.0,,0.0,0.0
24,30,30.mp3,Somewhere (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),52.16,01:53,02:43,,0.0,0.0,,0.0,0.0
25,31,31.mp3,Caroline,Amine,Caroline,18.09,02:55,03:11,,0.0,0.0,,0.0,0.0
26,32,32.mp3,Rise Up,Andra Day,Rise Up,35.11,03:17,03:50, youre broken down and tired of living life on a merrygoround and you cant find the fighter but i see it in you so we gonna walk it out and move mountains we gonna walk it out and move mountains and ill rise up ill rise like the day ill rise up ill rise unafraid ill rise up and ill do it a thousand times again and ill rise up high like the waves ill rise up in spite of the ache ill rise up and ill do it a thousands times again for you when the silence isnt quiet and it feels like its getting hard to breathe and i know you feel like dying but i promise well take the world to its feet and move mountains bring it to its feet and move mountains and ill rise up ill rise like the day ill rise up ill rise unafraid ill rise up and ill do it a thousand times again for you all we need all we need is hope and for doubt we have each other and for doubt we have each other we will rise we will rise well rise ohh ohhh well rise ill rise up rise like the day ill rise up in spite of the ache i will rise a thousands times again and well rise up high like the waves well rise up in spite of the ache well rise up and well do it a thousands times again for you ohhhh ohhh ohh ohhh ohh ,4.849056603773585,1.1473214285714286, and well rise up,5.0,0.14240956992309883
27,33,33.mp3,Fresh Eyes,Andy Grammer,Fresh Eyes,33.12,02:30,03:01, i got these fresh eyes never seen you before like this my god youre beautiful its like the first time when we open the door before we got used to usual it might seem superficial stereotypical man you dress up just a little and im like ohhh damn nan so suddenly im in love with a stranger i cant believe that shes mine now all i see is you with fresh eyes fresh eyes so suddenly im in love with a stranger i cant believe that shes mine yeah and now all i see is you with fresh eyes fresh eyes nan appreciation well it comes and it goes but i ill ride that wave with you its human nature to miss whats under your nose til you til you remindful maybe all of this is simple my hearts unconditional yeah you dress up just a little and im like ohhh damn nan so suddenly im in love with a stranger i cant believe that shes mine now all i see is you with fresh eyes fresh eyes so suddenly im in love with a stranger i cant believe that shes mine yeah and now all i see is you with fresh eyes fresh eyes nan if i could bottle this up bottle bottle this up i would i would bottle this up bottle bottle this up i would cause youre gorgeous in this moment if i could bottle this up i would nan so suddenly im in love with a stranger i cant believe that shes mine now all i see is you with fresh eyes fresh eyes so suddenly im in love with a stranger i cant believe that shes mine yeah and now all i see is you with fresh eyes fresh eyes,7.425,1.6141304347826086, so suddenly im in love with a stranger,9.0,0.27173913043478265
28,34,34.mp3,It's the Most Wonderful Time of the Year,Andy Williams,Five Songs Of Christmas - Classic,36.13,01:53,02:27, nan its the most wonderful time of the year with the kids jinglebelling and everyone telling you be of good cheer its the most wonderful time of the year nan its the haphappiest season of all with those holiday greetings and gay happy meetings when friend come to call its the haphappiest season of all nan therell be parties for hosting marshmallows for toasting and carolling out in the snow therell be scary ghost story and tales of glories of christmas long long ago nan its the most wonderful time of the year therell be much mistletoeing and hearts will be glowing when love ones are near its the most wonderful time of the year nan therell be parties for hosting marshmallows for toasting and carolling out in the snow therell be scary ghost story and tales of glories of christmas long long ago its the most wonderful time of the year therell be much mistletoeing and hearts will be glowing when love ones are near its the most wonderful time its the most wonderful time its the most wonderful time of the year,5.78125,1.2847222222222223, and tales of glories of christmas long long ago,10.0,0.2767783005812344
